"Tm","Year","Rank","Player","Age","First","Pts Won","Pts Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG%","3P%","FT%","WS","WS48","Seed","W","L","PER","TS."
"PHO",2005,1,"Steve Nash",30,65,1066,1270,0.839,75,34.3,15.5,3.3,11.5,1,0.1,0.502,0.431,0.887,10.9,0.203,1,62,20,22,0.606
"MIN",2005,11,"Kevin Garnett",28,0,15,1270,0.012,82,38.1,22.2,13.5,5.7,1.5,1.4,0.502,0.24,0.811,16.1,0.248,9,44,38,28.2,0.567
"WAS",2005,12,"Gilbert Arenas",23,0,4,1270,0.003,80,40.9,25.5,4.7,5.1,1.7,0.3,0.431,0.365,0.814,11.5,0.169,5,45,37,21.3,0.565
"DEN",2005,14,"Marcus Camby",30,0,1,1270,0.001,66,30.5,10.3,10,2.3,0.9,3,0.465,0,0.723,5.8,0.138,7,49,33,18,0.505
"NOH",2005,14,"P.J. Brown",35,0,1,1270,0.001,82,34.4,10.8,9,2.2,0.9,0.6,0.446,NA,0.864,6.9,0.118,15,18,64,15.5,0.512
"PHO",2005,14,"Shawn Marion",26,0,1,1270,0.001,81,38.8,19.4,11.3,1.9,2,1.5,0.476,0.334,0.833,12.5,0.191,1,62,20,21.7,0.556
"MIA",2005,2,"Shaquille O'Neal",32,58,1032,1270,0.813,73,34.1,22.9,10.4,2.7,0.5,2.3,0.601,NA,0.461,11,0.211,1,59,23,27,0.583
"DAL",2005,3,"Dirk Nowitzki",26,0,349,1270,0.275,78,38.7,26.1,9.7,3.1,1.2,1.5,0.459,0.399,0.869,15.6,0.248,4,58,24,26.1,0.578
"SAS",2005,4,"Tim Duncan",28,1,328,1270,0.258,66,33.4,20.3,11.1,2.7,0.7,2.6,0.496,0.333,0.67,11.2,0.245,2,59,23,27,0.54
"PHI",2005,5,"Allen Iverson",29,2,240,1270,0.189,75,42.3,30.7,4,7.9,2.4,0.1,0.424,0.308,0.835,9,0.136,7,43,39,23.2,0.532
"CLE",2005,6,"LeBron James",20,0,93,1270,0.073,80,42.4,27.2,7.4,7.2,2.2,0.7,0.472,0.351,0.75,14.3,0.203,9,42,40,25.7,0.554
"HOU",2005,7,"Tracy McGrady",25,0,44,1270,0.035,78,40.8,25.7,6.2,5.7,1.7,0.7,0.431,0.326,0.774,12,0.18,5,51,31,22.9,0.526
"MIA",2005,8,"Dwyane Wade",23,0,43,1270,0.034,77,38.6,24.1,5.2,6.8,1.6,1.1,0.478,0.289,0.762,11,0.177,1,59,23,23.1,0.561
"PHO",2005,9,"Amar'e Stoudemire",22,1,41,1270,0.032,80,36.1,26,8.9,1.6,1,1.6,0.559,0.188,0.733,14.6,0.243,1,62,20,26.6,0.617
"SEA",2005,9,"Ray Allen",29,0,41,1270,0.032,78,39.3,23.9,4.4,3.7,1.1,0.1,0.428,0.376,0.883,10.7,0.168,3,52,30,20.9,0.555
"PHO",2006,1,"Steve Nash",31,57,924,1250,0.739,79,35.4,18.8,4.2,10.5,0.8,0.2,0.512,0.439,0.921,12.4,0.212,2,54,28,23.3,0.632
